16,2,10.6,5,1.99,1,0.9,0.1,0.1
22,3,13.3,5,1.995,3,0.1,0.1,0.9
15,2,8.2,3,1.976,2,0.1,0.9,0.1
13,3,11,10,2.008,2,0.1,0.9,0.1
10,2,10,9,1.98,2,0.1,0.9,0.1
22,2,10.8,5,1.985,2,0.1,0.9,0.1
2,4,14.4,1,1.986,3,0.1,0.1,0.9
0,2,9.2,9,1.981,2,0.1,0.9,0.1
24,2,8.8,11,1.989,1,0.9,0.1,0.1
24,4,14,1,1.999,3,0.1,0.1,0.9
25,2,8.4,11,1.985,1,0.9,0.1,0.1
25,1,6.4,11,1.985,1,0.9,0.1,0.1
4,1,6.7,9,1.976,1,0.9,0.1,0.1
7,2,8.5,5,2.003,2,0.1,0.9,0.1
18,1,5.6,12,1.973,1,0.9,0.1,0.1
1,1,6.7,9,1.985,1,0.9,0.1,0.1
0,4,15.3,1,1.996,3,0.1,0.1,0.9
17,3,11,10,2.005,2,0.1,0.9,0.1
19,3,11,3,2.001,2,0.1,0.9,0.1
0,1,6.7,9,1.978,1,0.9,0.1,0.1
24,3,11.1,10,2.004,1,0.9,0.1,0.1
17,3,11,10,2.003,2,0.1,0.9,0.1
11,3,12.1,3,1.987,2,0.1,0.9,0.1
5,4,14.3,4,1.999,3,0.1,0.1,0.9
25,1,6.7,9,1.982,1,0.9,0.1,0.1
13,2,10.3,5,1.985,2,0.1,0.9,0.1
11,2,9.1,9,1.985,2,0.1,0.9,0.1
1,2,9.2,9,1.979,2,0.1,0.9,0.1
8,2,10.4,10,1.999,1,0.9,0.1,0.1
12,2,9.2,9,1.984,2,0.1,0.9,0.1
22,3,12.2,3,1.989,2,0.1,0.9,0.1
18,1,5.9,3,1.974,1,0.9,0.1,0.1
19,2,9.1,5,2.001,1,0.9,0.1,0.1
18,3,11.1,3,2.003,3,0.1,0.1,0.9
13,1,7.3,5,1.984,1,0.9,0.1,0.1
11,2,10.4,5,1.987,2,0.1,0.9,0.1
10,1,6.03,12,1.967,1,0.9,0.1,0.1
13,4,13,1,2.001,3,0.1,0.1,0.9
9,1,6.7,9,1.979,1,0.9,0.1,0.1
10,2,9.2,9,1.976,3,0.1,0.1,0.9
8,3,12,3,1.999,1,0.9,0.1,0.1
24,2,9.2,9,1.985,1,0.9,0.1,0.1
0,1,6.8,9,1.981,1,0.9,0.1,0.1
5,2,9.3,10,2.004,2,0.1,0.9,0.1
8,2,9.1,9,1.981,1,0.9,0.1,0.1
7,1,6.8,3,1.978,2,0.1,0.9,0.1
20,3,11,3,2.001,3,0.1,0.1,0.9
10,2,9.1,9,1.978,2,0.1,0.9,0.1
18,1,6,3,1.97,1,0.9,0.1,0.1
24,4,14.6,4,1.986,2,0.1,0.9,0.1
